lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
en,by the book,Strictly according to the rules,Strictly according to the rules,strictly following procedure,strictly following procedure
en,cabbage,"A cultivated plant eaten as a vegetable , having thick green or purple leaves surrounding a spherical heart or head of young leaves","A cultivated plant eaten as a vegetable , having thick green or purple leaves surrounding a spherical heart or head of young leaves",an unintelligent person.  (From,an unintelligent person.  (From
en,cake,"An item of soft sweet food made from a mixture of flour , fat , eggs , sugar , and other ingredients , baked and sometimes iced or decorated","An item of soft sweet food made from a mixture of flour , fat , eggs , sugar , and other ingredients , baked and sometimes iced or decorated",displeasing,displeasing
en,calendar,"A chart or series of pages showing the days , weeks , and months of a particular year , or giving particular seasonal information","A chart or series of pages showing the days , weeks , and months of a particular year , or giving particular seasonal information",to examine schedules to determine a time when two or more people would be available to meet for some purpose,to examine schedules to determine a time when two or more people would be available to meet for some purpose
en,call,Give ( a baby or animal ) a specified name,Give ( a baby or animal ) a specified name,"to claim ownership, at least temporarily","to claim ownership, at least temporarily"
en,call on,Pay a visit to ( someone,Pay a visit to ( someone,"to point out a flaw, misdeed, or mistake","to point out a flaw, misdeed, or mistake"
en,can,Be able to,Be able to,buttocks,buttocks
en,candle,A cylinder or block of wax or tallow with a central wick which is lit to produce light as it burns,A cylinder or block of wax or tallow with a central wick which is lit to produce light as it burns,"A marijuana cigarette, a joint","A marijuana cigarette, a joint"
en,candy,Sweets ; confectionery,Sweets ; confectionery,vagina,vagina
en,cap,"A kind of soft , flat hat without a brim and typically with a peak","A kind of soft , flat hat without a brim and typically with a peak",a bullet,a bullet
en,capitol,A building housing a legislative assembly,A building housing a legislative assembly,"very good, excellent;","very good, excellent;"
en,carry,Support and move ( someone or something ) from one place to another,Support and move ( someone or something ) from one place to another,"handle, act","handle, act"
en,carry on,Continue an activity or task,Continue an activity or task,to complain at length,to complain at length
en,cash,"Money in coins or notes , as distinct from cheques , money orders , or credit","Money in coins or notes , as distinct from cheques , money orders , or credit","very good, excellent; cool","very good, excellent; cool"
en,cat,"A small domesticated carnivorous mammal with soft fur , a short snout , and retractable claws . It is widely kept as a pet or for catching mice , and many breeds have been developed","A small domesticated carnivorous mammal with soft fur , a short snout , and retractable claws . It is widely kept as a pet or for catching mice , and many breeds have been developed",a female,a female
en,cat burglar,A thief who enters a building by climbing to an upper storey,A thief who enters a building by climbing to an upper storey,"A male who moves in on and takes the attention of a female away from another male that she was potentially interested in.  Originates from the saying, He must be a cat burglar, because he is always stealing pussy","A male who moves in on and takes the attention of a female away from another male that she was potentially interested in.  Originates from the saying, He must be a cat burglar, because he is always stealing pussy"
en,catch,"Intercept and hold ( something which has been thrown , propelled , or dropped","Intercept and hold ( something which has been thrown , propelled , or dropped",an unpleasant condition that usually accompanies a seemingly advantageous situation,an unpleasant condition that usually accompanies a seemingly advantageous situation
en,catcher,A person or thing that catches something,A person or thing that catches something,"a person who catches.  That is, in homosexual male sex, to perform in the female role (i.e. receiving end)","a person who catches.  That is, in homosexual male sex, to perform in the female role (i.e. receiving end)"
